,SPX Index,TSLA US Equity,AAPL US Equity,NKE US Equity,AMZN US Equity,WMT US Equity,KO US Equity,XAU Curncy,CL1 Comdty,USGG10YR Index,USGG2YR Index
20 Mar 2019,2824.23,54.72,47.04,86.69,89.864,98.64,45.53,1312.53,59.83,2.5263,2.3961
21 Mar 2019,2854.88,54.804,48.773,88.01,90.963,99.06,45.51,1309.36,59.98,2.5369,2.4084
22 Mar 2019,2800.71,52.906,47.763,82.19,88.239,98.28,45.93,1313.68,59.04,2.439,2.3166
25 Mar 2019,2798.36,52.084,47.185,82.33,88.713,98.17,46.03,1321.9,58.82,2.3983,2.2416
26 Mar 2019,2818.46,53.554,46.698,83.38,89.188,98.32,46.64,1315.71,59.94,2.423,2.2662
27 Mar 2019,2805.37,54.966,47.118,83.09,88.285,97.21,46.61,1309.55,59.41,2.3665,2.2
28 Mar 2019,2815.44,55.724,47.18,84.04,88.671,97.13,46.58,1290.42,59.3,2.3946,2.2359
29 Mar 2019,2834.4,55.972,47.488,84.21,89.038,97.53,46.86,1292.38,60.14,2.405,2.26
1 Apr 2019,2867.19,57.836,47.81,85.23,90.71,97.82,46.72,1287.72,61.59,2.5009,2.3326
2 Apr 2019,2867.24,57.176,48.505,84.37,90.699,96.94,46.57,1292.46,62.58,2.4741,2.3024
3 Apr 2019,2873.4,58.362,48.838,84.47,91.035,97.19,46.18,1289.93,62.46,2.5241,2.3348
4 Apr 2019,2879.39,53.556,48.923,85.28,90.943,98.11,46.48,1292.21,62.1,2.5151,2.3369
5 Apr 2019,2892.74,54.992,49.25,85.4,91.864,98.83,46.47,1291.76,63.08,2.4954,2.3393
8 Apr 2019,2895.77,54.64,50.025,84.73,92.493,99.23,46.55,1297.48,64.4,2.5222,2.3618
9 Apr 2019,2878.2,54.462,49.875,84.28,91.792,98.69,46.67,1304.1,63.98,2.5006,2.3497
10 Apr 2019,2888.21,55.212,50.155,84.88,92.367,99.6,46.64,1307.99,64.61,2.4649,2.3212
11 Apr 2019,2888.32,53.684,49.738,85,92.203,100.8,46.71,1292.52,63.58,2.497,2.354
12 Apr 2019,2907.41,53.54,49.718,86.24,92.153,101.56,46.74,1290.43,63.89,2.5651,2.3914
15 Apr 2019,2905.58,53.276,49.808,86.83,92.244,102.43,47,1287.95,63.4,2.5543,2.3916
